Edificio  Nombre                                                                                                   Latitud     Longitud    Campus
7I        ETSI Geodésica, Cartográfica y Topográfica                                                               39.4812540  -0.3375573  Vera
7I        Dpto. de Ingeniería Cartográfica Geodesia y Fotogrametría                                                39.4812540  -0.3375573  Vera
7I        Servicio de Calibración Industrial                                                                       39.4812540  -0.3375573  Vera
7J        Facultad de Administración y Dirección de Empresas                                                       39.4816771  -0.3373140  Vera
7J        Dpto. de Economía y Ciencias Sociales                                                                    39.4816771  -0.3373140  Vera
7J        Centro de Investigación de Ingeniería Económica                                                          39.4816771  -0.3373140  Vera
7J        Centro de Investigación en Gestión de Empresas                                                           39.4816771  -0.3373140  Vera
7L        Laboratorio Pedro Duque                                                                                  39.4809789  -0.3374621  Vera
8A        Instituto Universitario de Tecnología Química                                                            39.4781646  -0.3379319  Vera
8B        IDEAS UPV                                                                                                39,4772822  -0,3343485  Vera
8B        Instituto Universitario de Restauración del Patrimonio                                                   39,4772822  -0,3343485  Vera
8B        Centro de Investigación Arte y Entorno                                                                   39,4772822  -0,3343485  Vera
8B        Centro de Investigación e Innovación en Bioingeniería                                                    39,4772822  -0,3343485  Vera
8B        Centro de Investigación Pattern Recognition and Human Language Technology                                39,4772822  -0,3343485  Vera
8B        Instituto de Investigación e Innovación en Bioingeniería                                                 39,4772822  -0,3343485  Vera
8B        Instituto de Instrumentación para Imagen Molecular                                                       39,4772822  -0,3343485  Vera
8B        UIC en Cloud Computing entre INDRA SA y el Ins. De Instrumentación en Imagen Molecular                   39,4772822  -0,3343485  Vera
8B        CDD- Centro de Documentación IMPIVA diseño                                                               39,4772822  -0,3343485  Vera
8C        Instituto Universitario de Tecnología Química                                                            39.4783393  -0.3378446  Vera
8D        Dpto. de Física Aplicada                                                                                 39.4785274  -0.3377572  Vera
8D        Servicio de Microscopía Electrónica                                                                      39.4785274  -0.3377572  Vera
8E        Instituto Universitario de Conservación y Mejora de la Agrodiversidad Valenciana                         39.4779295  -0.3340711  Vera
8E        Instituto Universitario de Ingeniería de Alimentos para el Desarrollo                                    39.4779295  -0.3340711  Vera
8E        Instituto Universitario de Ingeniería Energética                                                         39.4779295  -0.3340711  Vera
8E        Instituto Universitario de Matemática Pura y Aplicada                                                    39.4779295  -0.3340711  Vera
8E        Instituto Universitario Mixto de Biología Molecular y Celular de Plantas                                 39.4779295  -0.3340711  Vera
8E        Centro de Biomateriales e Ingeniería Tisular                                                             39.4779295  -0.3340711  Vera
8E        Instituto Agroforestal Mediterráneo                                                                      39.4779295  -0.3340711  Vera
8E        Instituto de Gestión de la Innovación y del Conocimiento                                                 39.4779295  -0.3340711  Vera
8E        Laboratorio de Automóviles                                                                               39.4779295  -0.3340711  Vera
8E        Convenio de asociación de grupos de IDM y CBIT                                                           39.4779295  -0.3340711  Vera
8E        UMI en Mejora de la Calidad Agroalimentaria UJIUPV                                                       39.4779295  -0.3340711  Vera
8F        Instituto Universitario de Tecnología Nanofotónica                                                       39.4786820  -0.3375422  Vera
8F        Analog Devices. S.L.                                                                                     39.4786820  -0.3375422  Vera
8F        DAS Photonics, S.L.                                                                                      39.4786820  -0.3375422  Vera
8G        Área de la Ciudad Politécnica de la Innovación                                                           39.4784968  -0.3337191  Vera
8G        Servicio de Promoción y Apoyo a la Investigación, Innovación y Transferencia                             39.4784968  -0.3337191  Vera
8G        Instituto Universitario de Automática e Informática Industrial                                           39.4784968  -0.3337191  Vera
8G        Instituto Universitario de Ingeniería del Agua y del Medio Ambiente                                      39.4784968  -0.3337191  Vera
8G        Instituto Universitario de Matemática Multidisciplinar                                                   39.4784968  -0.3337191  Vera
8G        Instituto Universitario de Tecnologías de la Información y Comunicaciones                                39.4784968  -0.3337191  Vera
